Year,Rank,Movie,Poster_URL,Genre,TMDb_Rating,TMDb_Vote_Count,Popularity_Score,Release_Date,Runtime_Minutes,Box_Office_USD,Director,Streaming_Original,Primary_Studio_or_Platform,Cult_Classic,Family_Friendly,Rewatchability_Score_10,Overview
1995,25,La Haine,https://image.tmdb.org/t/p/w500/hY4exng4s29RzDbtQInjx9MA3PZ.jpg,Drama,8.1,4683,9.0702,1995-05-31,98,15300000,Mathieu Kassovitz,No,"Kasso Productions, La Sept Cinéma, Les Productions Lazennec",Yes,No,6,"After a chaotic night of rioting in a marginal suburb of Paris, three young friends, Vinz, Hubert and Saïd, wander around unoccupied waiting for news about the state of health of a mutual friend who has been seriously injured when confronting the police."
1995,26,Judge Dredd,https://image.tmdb.org/t/p/w500/cfSnKn8NDU3m8UxihjVcYprA0Aq.jpg,"Science Fiction, Action",5.852,2822,10.6758,1995-06-30,96,113493481,Danny Cannon,No,"Cinergi Pictures, Pressman Film",No,No,6,"In a dystopian future where Judges maintain law and order by acting as judge, jury, and executioner, Dredd fights to prove his innocence after being falsely accused of murder."
1995,27,Clueless,https://image.tmdb.org/t/p/w500/8AwVTcgpTnmeOs4TdTWqcFDXEsA.jpg,"Comedy, Romance",7.247,4904,10.4378,1995-07-19,97,56631572,Amy Heckerling,No,"Paramount Pictures, Robert Lawrence Productions, Scott Rudin Productions",No,No,6,"Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other. Emboldened by her success, she decides to give hopelessly klutzy new student Tai a makeover. When Tai becomes more popular than she is, Cher realizes that her disapproving ex-stepbrother was right about how misguided she was -- and falls for him."
1995,28,Pocahontas,https://image.tmdb.org/t/p/w500/kZ1ft0QZ4e3zDUPMBftEkwI9ftd.jpg,"Adventure, Animation, Family, Romance",6.913,6173,9.8343,1995-06-16,81,346079773,Mike Gabriel,No,"Walt Disney Feature Animation, Walt Disney Pictures",No,Yes,6,"Pocahontas, daughter of a Native American tribe chief, falls in love with an English soldier as colonists invade 17th century Virginia."
1995,29,The Quick and the Dead,https://image.tmdb.org/t/p/w500/jhEmrXJpP6F3cqwyLjvgBgxxxFA.jpg,"Western, Action, Drama, Thriller",6.539,2016,9.2113,1995-02-09,107,47000000,Sam Raimi,No,"TriStar Pictures, Japan Satellite Broadcasting, IndieProd Company Productions",No,No,6,"A mysterious woman comes to compete in a quick-draw elimination tournament, in a town taken over by a notorious gunman."
1995,30,Showgirls,https://image.tmdb.org/t/p/w500/o4HT3Ap5c99W4FYpdXUtTvxGgPc.jpg,Drama,5.564,1429,11.4781,1995-09-22,131,20367472,Paul Verhoeven,No,"Chargeurs, Charles Evans Productions, Carolco Pictures",No,No,6,"Fresh to Las Vegas with no connections, Nomi Malone takes a job as an exotic dancer. Her talents are quickly noticed by Cristal, a headlining dancer who senses an opportunity to bolster her own act. But Nomi won’t play second fiddle and soon begins her venomous path to the top, ruthlessly backstabbing anyone who gets in her way."
1995,31,Hackers,https://image.tmdb.org/t/p/w500/qfx2EENW1sOpKNVKLzr7VOhlxkt.jpg,"Action, Crime, Thriller, Drama",6.386,1535,9.7891,1995-09-14,105,7563728,Iain Softley,No,"Suftley, United Artists, Metro-Goldwyn-Mayer",No,No,6,"Along with his new friends, a teenager who was arrested by the US Secret Service and banned from using a computer for writing a computer virus discovers a plot by a nefarious hacker, but they must use their computer skills to find the evidence while being pursued by the Secret Service and the evil computer genius behind the virus."
1995,32,Crimson Tide,https://image.tmdb.org/t/p/w500/21nqRJ6ofEgVvEl68J4O9V26Xzy.jpg,"Thriller, Action, Drama, War",7.183,2052,10.0166,1995-05-12,116,157387195,Tony Scott,No,"Hollywood Pictures, Don Simpson/Jerry Bruckheimer Films",No,No,6,"After the Cold War, a breakaway Russian republic with nuclear warheads becomes a possible worldwide threat. U.S. submarine Capt. Frank Ramsey signs on a relatively green but highly recommended Lt. Cmdr. Ron Hunter to the USS Alabama, which may be the only ship able to stop a possible Armageddon. When Ramsey insists that the Alabama must act aggressively, Hunter, fearing they will start rather than stop a disaster, leads a potential mutiny to stop him."
1995,33,Mortal Kombat,https://image.tmdb.org/t/p/w500/9YhpvhhvLrtL1wlwEfpVL16GI9d.jpg,"Action, Fantasy",5.912,2644,8.9779,1995-08-18,101,122195920,Paul W. S. Anderson,No,"New Line Cinema, Threshold Entertainment",No,No,6,"For nine generations an evil sorcerer has been victorious in hand-to-hand battle against his mortal enemies. If he wins a tenth Mortal Kombat tournament, desolation and evil will reign over the multiverse forever. To save Earth, three warriors must overcome seemingly insurmountable odds, their own inner demons, and superhuman foes."
1995,34,The Basketball Diaries,https://image.tmdb.org/t/p/w500/AhvO1GGDPIgN0hOqZEgaFCbswMK.jpg,"Drama, Crime",7.402,2277,8.3108,1995-04-21,102,2381087,Scott Kalvert,No,Island Pictures,No,No,6,A high school basketball player’s life turns upside down after free-falling into the harrowing world of drug addiction.
1995,35,Rumble in the Bronx,https://image.tmdb.org/t/p/w500/1nAfchiXHQB3iyhK8fCJJEnNs5A.jpg,"Crime, Action, Comedy, Thriller",6.9,1216,11.9104,1995-01-21,106,76028558,Stanley Tong Gwai-Lai,No,Orange Sky Golden Harvest,No,No,6,"Keong comes from Hong Kong to visit New York for his uncle's wedding. His uncle runs a market in the Bronx and Keong offers to help out while Uncle is on his honeymoon. During his stay in the Bronx, Keong befriends a neighbor kid and beats up some neighborhood thugs who cause problems at the market. One of those petty thugs in the local gang stumbles into a criminal situation way over his head."
1995,36,A Goofy Movie,https://image.tmdb.org/t/p/w500/bycmMhO3iIoEDzP768sUjq2RV4T.jpg,"Adventure, Comedy, Romance, Animation, Family",7.041,1960,8.0391,1995-04-05,78,35348597,Kevin Lima,No,"Walt Disney Pictures, Walt Disney Animation, Phoenix Animation Studios",No,Yes,6,"Goofy’s teenage son Max is desperate to impress his crush and fit in at school. After well-meaning but ignorant Goofy suddenly whisks him away on a cross-country road trip—messing up Max’s first date plans in the process—Goofy’s old-school parenting and Max’s desire for independence lead to a vacation of hilarious mishaps, as they both learn to see eye to eye and listen to each other."
1995,37,Species,https://image.tmdb.org/t/p/w500/cT5wdyo8kT7dycqjrolJ2sHWkFx.jpg,"Science Fiction, Horror, Action",5.992,1921,8.0418,1995-07-07,108,113400000,Roger Donaldson,No,"Metro-Goldwyn-Mayer, FGM Entertainment",No,No,6,"In 1993, the Search for Extra Terrestrial Intelligence Project receives a transmission detailing an alien DNA structure, along with instructions on how to splice it with human DNA. The result is Sil, a sensual but deadly creature who can change from a beautiful woman to an armour-plated killing machine in the blink of an eye."
